exp,phi_0,dV_ges,eps_0,h_dp_max,h_w_0,V_dp,Sep. Eff.,status
10mmol_30C,0.000346723,1250.943404,0.399996182,0.069506929,0.110695898,0.01765429346119356,1.0,success
10mmol_30C,0.000313467,1271.393663,0.400560738,0.071139833,0.113122433,0.017018790253207093,1.0,success
10mmol_30C,0.000300089,1191.690371,0.396974003,0.068165432,0.112599368,0.017162091341053315,1.0,success
10mmol_30C,0.000565693,1251.6605,0.500149536,0.069078813,0.11520122,0.0164840046912522,1.0,success
10mmol_30C,0.000566363,1249.038305,0.500093794,0.055513298,0.114298685,0.01673467958167975,1.0,success
10mmol_30C,0.000557808,1261.536789,0.498519907,0.068876906,0.116313977,0.016198357370198938,1.0,success
10mmol_30C,0.000499153,1258.861661,0.499273639,0.061411471,0.117735395,0.015844009863911088,1.0,success
10mmol_30C,0.000411395,1267.514069,0.499206614,0.048344787,0.125620729,0.013840728012668675,1.0,success
10mmol_30C,0.000353161,1232.385343,0.499589855,0.037024263,0.111880503,0.017348592804755432,1.0,success
15mmol_20C,0.000472703,750.312489,0.300555176,0.030824668,0.098189598,0.02088377112945135,1.0,success
15mmol_20C,0.000468528,750.3170867,0.300324108,0.033418607,0.095314093,0.021632603881683834,1.0,success
15mmol_20C,0.000416792,754.3769858,0.301244532,0.037811511,0.098369605,0.020848778430263365,1.0,success
15mmol_20C,0.000323064,744.0948704,0.299047395,0.035929846,0.099846621,0.02046889551624804,1.0,success
15mmol_20C,0.000262936,747.9693325,0.3004731,0.033267286,0.10603618,0.018873907703936394,1.0,success
15mmol_20C,0.00022805,758.9243321,0.301668805,0.031315015,0.107241968,0.018564769128617174,1.0,success
15mmol_20C,0.000209381,745.0419092,0.299485663,0.03631412,0.104573546,0.019266396814634143,1.0,success
15mmol_20C,0.000501799,749.4538597,0.399684985,0.029392582,0.100459284,0.020299827431662313,1.0,success
15mmol_20C,0.000511927,739.3311494,0.398111109,0.032175303,0.099352847,0.020593119459562166,1.0,success
15mmol_20C,0.00043558,743.0640306,0.401168329,0.039693226,0.100214407,0.020431056409881198,1.0,success
15mmol_20C,0.000357684,751.0799542,0.399810084,0.035477432,0.105138485,0.019182241740509014,1.0,success
15mmol_20C,0.000276524,745.8014683,0.399630964,0.041707279,0.108510504,0.018299108402543892,1.0,success
15mmol_20C,0.000258285,745.0187997,0.399906177,0.062740635,0.107568398,0.018472089309946618,1.0,success
15mmol_20C,0.000235519,743.4619476,0.398521043,0.057989449,0.108287201,0.01828104398448313,1.0,success
15mmol_20C,0.000648955,753.8642081,0.499620821,0.034657304,0.099429779,0.020642910072487537,1.0,success
15mmol_20C,0.000611831,750.71744,0.50033281,0.037521119,0.098495864,0.020924707985551138,1.0,success
15mmol_20C,0.000513772,749.4489112,0.500244513,0.044029801,0.100396349,0.02044432129026131,1.0,success
15mmol_20C,0.000438765,759.1621495,0.499259015,0.039294587,0.10699968,0.018691601788741213,1.0,success
15mmol_20C,0.0003439,748.5746057,0.500681914,0.065830855,0.109581978,0.01795532650187708,1.0,success
15mmol_20C,0.000310771,749.4008474,0.500353876,0.073258197,0.10888812,0.018124806545600742,1.0,success
15mmol_20C,0.000301463,751.3954723,0.499920139,0.051725807,0.10817376,0.018309871912708782,1.0,success
15mmol_20C,0.000478495,1001.046873,0.300045327,0.04078066,0.103141573,0.019694634546071912,1.0,success
15mmol_20C,0.00050276,999.4082097,0.299204276,0.041816536,0.101860464,0.020015319669456674,1.0,success
15mmol_20C,0.000517406,1011.391431,0.301494473,0.041015214,0.102461353,0.019863134650682963,1.0,success
